
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004074                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%     96.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdStrideSegmentedLoad            0      0.00%     96.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdStrideSegmentedStore            0      0.00%     96.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdExt            0      0.00%     96.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%     96.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig            0      0.00%     96.82% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MACInt        604680      3.18%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MACFp              0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total       19035507                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         2.336229                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                             4461826                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.234395                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 50637042                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                19155323                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        19014608                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                        50                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                       27                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses               21                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    23497198                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                           28                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numRecvResp                        1987853                       # Number of received responses (Count)
system.cpu.numRecvRespBytes                  11289438                       # Number of received response bytes (Byte)
system.cpu.recvRespAvgBW                         1.39                       # Average bandwidth of received responses ((Byte/Cycle))
system.cpu.recvRespAvgSize                       5.68                       # Average packet size per received response ((Byte/Count))
