
---------- Begin Simulation Statistics ----------
simSeconds                                   0.075078                       # Number of seconds simulated (Second)
system.cpu.intInstQueueReads                410371228                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               130132429                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses       130118000                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                 240002491                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                120004186                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses        120000873                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   130122885                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                    120001310                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numRecvResp                       90021162                       # Number of received responses (Count)
system.cpu.numRecvRespBytes                 480099778                       # Number of received response bytes (Byte)
system.cpu.recvRespAvgBW                         3.20                       # Average bandwidth of received responses ((Byte/Cycle))
system.cpu.recvRespAvgSize                       5.33                       # Average packet size per received response ((Byte/Count))
system.cpu.recvRespAvgRate                       0.60                       # Average rate of received responses per cycle ((Count/Cycle))
system.cpu.recvRespAvgRetryRate                  0.00                       # Average retry rate per received response ((Count/Count))
system.cpu.numSendRetryResp                         0                       # Number of retry responses sent (Count)
system.cpu.numSquashedInsts                      1378                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                             274                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           28213                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads      100020814                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      60006442                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads     65004618                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores     40001980                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
